Brown_POS,General_POS
"""",Symbol
',Symbol
'',Symbol
(,Symbol
),Symbol
",",Symbol
.,Symbol
:,Symbol
;,Symbol
AP,Adverb
CC,Conjunction
CD,Numeral
CS,Conjunction
DT,Determiner
DTI,Determiner
DTS,Determiner
DTX,Determiner
EX,Existential
FW,Foreign
IN,Preposition
JJ,Adjective
JJR,Adjective
JJS,Adjective
JJT,Adjective
LS,Other
MD,Verb
NN,Noun
NNP,Noun
NNPS,Noun
NNS,Noun
NOT,Negation
NP,Noun
NPS,Noun
NR,Noun
NRS,Noun
OD,Numeral
PDT,Other
POS,Other
PP$,Pronoun
PPO,Pronoun
PPS,Pronoun
PPSS,Pronoun
PRP,Pronoun
PRP$,Pronoun
QL,Adverb
RB,Adverb
RBR,Adverb
RBS,Adverb
RN,Other
RP,Particle
RRC,Other
SYM,Symbol
TO,Preposition
UH,Interjection
VB,Verb
VBD,Verb
VBG,Verb
VBN,Verb
VBP,Verb
VBZ,Verb
WDT,Determiner
WP,Pronoun
WP$,Pronoun
WPO,Pronoun
WPS,Pronoun
WQL,Pronoun
WRB,Adverb
``,Symbol
